Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini)
200010764,BROOKLYN,.,.,.,N E CORNER OF UNION STREET A,BROOKLYN,.,NEW YORK,Intersection,N E CORNER OF UNION STREET AND A
200016264,BROOKLYN,.,.,.,COLUMBIA ST LORRAINE STREET,BROOKLYN,.,NEW YORK,Intersection,COLUMBIA ST AND LORRAINE STREET
200016621,BROOKLYN,.,.,.,BOND ST 1ST STREET,BROOKLYN,.,NEW YORK,Intersection,BOND ST AND 1ST STREET
200067818,BROOKLYN,5614,25,4506,FT HAMILTON PARKWAY,BROOKLYN,11219,NEW YORK,Full Address,4506 FT HAMILTON PARKWAY
200069385,BROOKLYN,.,.,.,I O 13TH AVE 45TH STREET,BROOKLYN,.,NEW YORK,Intersection,13TH AVE AND 45TH STREET
200077269,BROOKLYN,.,.,.,86 ST 5 AVE,BROOKLYN,.,NEW YORK,Intersection,86 ST AND 5 AVE
200085977,BROOKLYN,.,.,.,I O CENTRE ST HAMITON AVE,BROOKLYN,.,NEW YORK,Intersection,CENTRE ST AND HAMITON AVE
200124715,BRONX,.,.,.,F O 537 139 STREET,BRONX,.,NEW YORK,Insufficient Information,F O 537 139 STREET
200124733,BRONX,.,.,.,F O 537 139 STREET,BRONX,.,NEW YORK,Insufficient Information,F O 537 139 STREET
200177863,BROOKLYN,.,.,.,C O BROOKLYN AVE LEFFERTS AV,BROOKLYN,.,NEW YORK,Intersection,BROOKLYN AVE AND LEFFERTS AV
200178660,BROOKLYN,1424,1,841,EMPIRE BOULEVARD,BROOKLYN,11213,NEW YORK,Full Address,841 EMPIRE BOULEVARD
200180952,BROOKLYN,.,.,.,E 14 STREET AVE X,BROOKLYN,.,NEW YORK,Intersection,E 14 ST AND STREET AVE X
200201660,BROOKLYN,.,.,.,EB HARWAY AVE I O BAY 43,BROOKLYN,.,NEW YORK,Intersection,HARWAY AVE AND BAY 43
200228014,BROOKLYN,.,.,.,FARRAGUT RD AND E 83 STREET,BROOKLYN,.,NEW YORK,Intersection,FARRAGUT RD AND E 83 STREET
200268018,BROOKLYN,.,.,.,65 ST 20 AVE,BROOKLYN,.,NEW YORK,Intersection,65 ST AND 20 AVE
200275644,BROOKLYN,6346,43,2077,86 STREET,BROOKLYN,11214,NEW YORK,Full Address,2077 86 STREET
200285279,STATEN IS,.,.,.,HYLAN BOULEVARD ROSS AVE,STATEN ISLAND,.,NEW YORK,Intersection,HYLAN BOULEVARD AND ROSS AVE
200295307,MANHATTAN,.,.,.,8 AVE WEST 33 STREET,NEW YORK,.,NEW YORK,Intersection,8 AVE AND WEST 33 STREET
200295471,NOT NYC,.,.,.,8TH AVE W 33 STREET,.,.,.,Intersection,8TH AVE AND W 33 STREET
200295480,NOT NYC,.,.,.,8TH AVE W 33 STREET,.,.,.,Intersection,8TH AVE AND W 33 STREET
200326767,BRONX,.,.,.,LAFAYETTE AVE WHITE PLAINS R,BRONX,.,NEW YORK,Intersection,LAFAYETTE AVE AND WHITE PLAINS R
200348381,BRONX,3934,1,2135,WESTCHESTER AVENUE,BRONX,10462,NEW YORK,Full Address,2135 WESTCHESTER AVENUE
200447042,BRONX,.,.,.,WESTESTER AVE AND TAYLOR AVE,BRONX,.,NEW YORK,Intersection,WESTESTER AVE AND TAYLOR AVE
200449289,BRONX,.,.,.,ZEREGA AVENUE BRUCKNER BLVD,BRONX,.,NEW YORK,Insufficient Information,ZEREGA AVENUE BRUCKNER BLVD
200450012,BRONX,.,.,.,N E C O CASTLE HILL AVE NEWB,BRONX,.,NEW YORK,Intersection,CASTLE HILL AVE AND NEWB
200450764,BRONX,.,.,.,BOYNTON AVENUE WESTCHESTER A,BRONX,.,NEW YORK,Insufficient Information,BOYNTON AVENUE WESTCHESTER A
200473489,BRONX,.,.,.,E 194 STREET MARION AVE,BRONX,.,NEW YORK,Intersection,E 194 ST AND STREET MARION AVE
200478576,BRONX,3199,98,2431,JEROME AVENUE,BRONX,10468,NEW YORK,Full Address,2431 JEROME AVENUE
200479227,BRONX,.,.,.,EAST KINGSBRIDGE AND MORRIS,BRONX,.,NEW YORK,Intersection,EAST KINGSBRIDGE AND MORRIS
200534272,BRONX,.,.,.,I O EAGLE AVE WESTCHESTER AV,BRONX,.,NEW YORK,Intersection,EAGLE AVE AND WESTCHESTER AV
200646142,MANHATTAN,1373,30,576,MAIN STREET,NEW YORK,10044,NEW YORK,Full Address,576 MAIN STREET
200653191,BRONX,.,.,520,E 149,BRONX,.,NEW YORK,Full Address,520 E 149
200731228,BRONX,.,.,.,MOSHULA PKWAY AND BAINBRIDGE,BRONX,.,NEW YORK,Intersection,MOSHULA PKWAY AND BAINBRIDGE
200753603,BRONX,.,.,2505,UNIVERSITY,BRONX,.,NEW YORK,Full Address,2505 UNIVERSITY
200842667,BRONX,.,.,.,CORNER OF S B VAN CORTLANDT,BRONX,.,NEW YORK,Intersection,VAN AND CORTLANDT
200842694,BRONX,.,.,.,COR S W JEROME AVE AND MORRI,BRONX,.,NEW YORK,Intersection,COR S W JEROME AVE AND MORRI
200849651,BRONX,.,.,.,MOSHOLU PKWY,BRONX,.,NEW YORK,Intersection,MOSHOLU AND PKWY
200937514,BRONX,3859,11,125,WESTCHESTER SQUARE,BRONX,10461,.,Full Address,125 WESTCHESTER SQUARE
200940796,BRONX,5650,1,1,ORCHARD BEACH ROAD,BRONX,10464,NEW YORK,Full Address,1 ORCHARD BEACH ROAD
201042519,BRONX,.,.,.,BRYANT AVE WESTCHESTER AVE,BRONX,.,NEW YORK,Intersection,BRYANT AVE AND WESTCHESTER AVE
201052639,BRONX,.,.,.,C O ROMBOUTS AVENUE GIVAN AV,BRONX,.,NEW YORK,Insufficient Information,ROMBOUTS AVENUE GIVAN AV
201062355,BROOKLYN,.,.,.,HUMBOLDT ST MAUJER ST,BROOKLYN,.,NEW YORK,Intersection,HUMBOLDT ST AND MAUJER ST
201077957,MANHATTAN,993,55,10,TIMES SQUARE,NEW YORK,10018,NEW YORK,Full Address,10 TIMES SQUARE
201098646,BROOKLYN,.,.,.,EVERGREEN MADISON,BROOKLYN,.,NEW YORK,Intersection,EVERGREEN AND MADISON
201112331,BROOKLYN,.,.,.,WILLOUGHBY ST BRIDGE ST,BROOKLYN,.,NEW YORK,Intersection,WILLOUGHBY ST AND BRIDGE ST
201121324,BROOKLYN,1644,77,575,PUTNAM AVENUE,BROOKLYN,11221,NEW YORK,Full Address,575 PUTNAM AVENUE
201126357,MANHATTAN,441,7501,400,EAST 14 STREET,NEW YORK,10009,NEW YORK,Full Address,400 EAST 14 STREET
201160924,BROOKLYN,1387,45,1660,ST JOHNS PLACE,BROOKLYN,11233,NEW YORK,Full Address,1660 ST JOHNS PLACE
201175188,BROOKLYN,.,.,.,HANCOCK ST S O REID AVE,BROOKLYN,.,NEW YORK,Intersection,HANCOCK ST AND S O REID AVE
201179056,BROOKLYN,1524,62,295,RALPH AVENUE,BROOKLYN,11233,NEW YORK,Full Address,295 RALPH AVENUE
201193603,BROOKLYN,.,.,.,STOCKHOLM STREET IRVING AVE,BROOKLYN,.,NEW YORK,Intersection,STOCKHOLM STREET AND IRVING AVE
201197801,BROOKLYN,3328,8,1525,MYRTLE AVENUE,BROOKLYN,11237,NEW YORK,Full Address,1525 MYRTLE AVENUE
201197810,BROOKLYN,3328,8,1525,MYRTLE AVENUE,BROOKLYN,11237,NEW YORK,Full Address,1525 MYRTLE AVENUE
201200331,BROOKLYN,.,.,.,JAY STREET AND CATHEDRAL PLA,BROOKLYN,.,NEW YORK,Intersection,JAY STREET AND CATHEDRAL PLA
201242131,BROOKLYN,.,.,.,SOUTH 4 ST I O KEAP ST,BROOKLYN,.,NEW YORK,Intersection,SOUTH 4 ST AND KEAP ST
201319095,BROOKLYN,.,.,.,C O GRAND PACIFIC,BROOKLYN,.,NEW YORK,Intersection,GRAND AND PACIFIC
201362563,BROOKLYN,.,.,.,I F O 900 ST MARCUS AVE,BROOKLYN,.,NEW YORK,Intersection,I F O 900 ST AND MARCUS AVE
201379568,BROOKLYN,.,.,.,SEC O MEEKER AVE UNION AVE,BROOKLYN,.,NEW YORK,Intersection,SEC O MEEKER AVE AND UNION AVE
201441278,BROOKLYN,1586,36,954,BROADWAY,BROOKLYN,11221,NEW YORK,Full Address,954 BROADWAY
201444330,QUEENS,.,.,.,249 ST UNION TURNPIKE,QUEENS,.,NEW YORK,Intersection,249 ST AND UNION TURNPIKE
201449436,BROOKLYN,.,.,.,GATES AVE MALCOLM X BLVD,BROOKLYN,.,NEW YORK,Intersection,GATES AVE AND MALCOLM X BLVD
201470639,BROOKLYN,.,.,.,RALPH AVE FULTON ST,BROOKLYN,.,NEW YORK,Intersection,RALPH AVE AND FULTON ST
201474938,BROOKLYN,1646,39,186,MALCOLM X BOULEVARD,BROOKLYN,11221,NEW YORK,Full Address,186 MALCOLM X BOULEVARD
201478604,BROOKLYN,1597,1,314,PULASKI STREET,BROOKLYN,11206,NEW YORK,Full Address,314 PULASKI STREET
201479713,BROOKLYN,.,.,.,HOWARD MACON,BROOKLYN,.,NEW YORK,Intersection,HOWARD AND MACON
201481904,BROOKLYN,1803,42,336,LEXINGTON AVENUE,BROOKLYN,11216,NEW YORK,Full Address,336 LEXINGTON AVENUE
201485278,BROOKLYN,1737,17,110,NOSTRAND AVENUE,BROOKLYN,11205,NEW YORK,Full Address,110 NOSTRAND AVENUE
201516747,BROOKLYN,1754,17,774,MYRTLE AVENUE,BROOKLYN,11206,NEW YORK,Full Address,774 MYRTLE AVENUE
201520780,BROOKLYN,.,.,.,YORK I O GOLD ST,BROOKLYN,.,NEW YORK,Intersection,YORK AND GOLD ST
201525208,BROOKLYN,.,.,.,JORALEMON FURMAN ST,BROOKLYN,.,NEW YORK,Insufficient Information,JORALEMON FURMAN ST
201525217,BROOKLYN,.,.,.,JORALEMON FURMAN,BROOKLYN,.,NEW YORK,Intersection,JORALEMON AND FURMAN
201525235,BROOKLYN,.,.,.,JORALEMON FURMAN,BROOKLYN,.,NEW YORK,Intersection,JORALEMON AND FURMAN
201525253,BROOKLYN,.,.,.,JORALEMON ST I O FURMAN ST,BROOKLYN,.,NEW YORK,Intersection,JORALEMON ST AND FURMAN ST
201529296,BROOKLYN,.,.,.,I O NEVINS ST AND SCHERMERHO,BROOKLYN,.,NEW YORK,Intersection,NEVINS ST AND SCHERMERHO
201530203,BROOKLYN,.,.,.,W B DEKALB AVE CLINTON AVE,BROOKLYN,.,NEW YORK,Intersection,DEKALB AVE AND CLINTON AVE
201532751,BROOKLYN,.,.,310,MYRTLE AVENUE,BROOKLYN,11205,NEW YORK,Full Address,310 MYRTLE AVENUE
201643732,BRONX,.,.,.,E 163 ST I O UNION AVE,BRONX,.,NEW YORK,Intersection,E 163 ST AND UNION AVE
201675578,BROOKLYN,.,.,.,E 152ND COURTLANDT AVE,BROOKLYN,.,NEW YORK,Insufficient Information,E 152ND COURTLANDT AVE
201741082,QUEENS,10150,43,108-14,GUY R BREWER BOULEVARD,JAMAICA,11433,NEW YORK,Full Address,108-14 GUY R BREWER BOULEVARD
201744447,QUEENS,9694,43,148-47,88 AVENUE,JAMAICA,11435,NEW YORK,Full Address,148-47 88 AVENUE
201745913,BRONX,2496,52,1190,CROMWELL AVENUE,BRONX,10452,NEW YORK,Full Address,1190 CROMWELL AVENUE
201746409,BRONX,2428,15,1072,TELLER AVENUE,BRONX,10456,NEW YORK,Full Address,1072 TELLER AVENUE
201775420,BRONX,.,.,.,C O E 149 STREET AND JACKSON,BRONX,.,NEW YORK,Intersection,E 149 STREET AND JACKSON
201775430,BRONX,.,.,.,C O E 149 ST AND JACKSON AVE,BRONX,.,NEW YORK,Intersection,E 149 ST AND JACKSON AVE
201776594,BRONX,2653,69,790,EAST 152 STREET,BRONX,10455,NEW YORK,Full Address,790 EAST 152 STREET
201782828,QUEENS,9677,184,90-40,148 STREET,JAMAICA,11435,NEW YORK,Full Address,90-40 148 STREET
201782855,QUEENS,9804,1,170-23,JAMAICA AVENUE,JAMAICA,11432,NEW YORK,Full Address,170-23 JAMAICA AVENUE
201786173,BRONX,.,.,.,E 167 ST CROMWELL AV,BRONX,.,NEW YORK,Intersection,E 167 ST AND ST CROMWELL AV
201790528,BRONX,.,.,.,N W C O WALTON AVE MT HOPE P,BRONX,.,NEW YORK,Intersection,WALTON AVE AND MT HOPE P
201799869,QUEENS,.,.,.,JAMAICA AVE 139TH ST,QUEENS,.,NEW YORK,Intersection,JAMAICA AVE AND 139TH ST
202086107,QUEENS,490,101,21-Apr,ASTORIA BOULEVARD,ASTORIA,11102,NEW YORK,Full Address,21-Apr ASTORIA BOULEVARD
202086116,QUEENS,10125,33,107-59,159 STREET,JAMAICA,11433,NEW YORK,Full Address,107-59 159 STREET
202439261,QUEENS,9761,36,89-09,162 STREET,JAMAICA,11432,NEW YORK,Full Address,89-09 162 STREET
202455799,BROOKLYN,.,.,180,TROY AVENUE,BROOKLYN,11213,NEW YORK,Full Address,180 TROY AVENUE
202639030,MANHATTAN,1933,50,2410,8 AVENUE,NEW YORK,10027,NEW YORK,Full Address,2410 8 AVENUE
202837865,QUEENS,.,.,.,I O MYRTLE AVE AND 67 PLACE,QUEENS,.,NEW YORK,Intersection,MYRTLE AVE AND 67 PLACE
202861268,QUEENS,.,.,.,99 STREET 65 AVENUE,QUEENS,.,NEW YORK,Intersection,99 STREET AND 65 AVENUE
202865530,QUEENS,3222,56,70-23,NANSEN STREET,FOREST HILLS,11375,NEW YORK,Full Address,70-23 NANSEN STREET
202888328,QUEENS,.,.,.,W B QUEENS MIDTOWN BAY 42 ST,QUEENS,.,NEW YORK,Insufficient Information,QUEENS MIDTOWN BAY 42 ST
202981140,MANHATTAN,1797,100,2351,1 AVENUE,NEW YORK,10035,NEW YORK,Full Address,2351 1 AVENUE
202984421,MANHATTAN,1755,1,2121,5 AVENUE,NEW YORK,10037,NEW YORK,Full Address,2121 5 AVENUE
202985898,MANHATTAN,1753,11,19,EAST 128 STREET,NEW YORK,10035,NEW YORK,Full Address,19 EAST 128 STREET
202988318,MANHATTAN,1772,20,2023,LEXINGTON AVENUE,NEW YORK,10035,NEW YORK,Full Address,2023 LEXINGTON AVENUE
203086730,BRONX,.,.,.,E 149 ST CONCORD AVE,BRONX,.,NEW YORK,Intersection,E 149 ST AND ST CONCORD AVE
203183631,MANHATTAN,1661,27,2175,2 AVENUE,NEW YORK,10029,NEW YORK,Full Address,2175 2 AVENUE
203315357,MANHATTAN,.,.,.,W 34TH ST 8TH AVE,NEW YORK,.,NEW YORK,Intersection,W 34TH ST AND 8TH AVE
203315366,MANHATTAN,.,.,.,W 45TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 45TH 8TH AVE
203319766,BROOKLYN,.,.,.,S W C O WINTROP STREET AND B,BROOKLYN,.,NEW YORK,Intersection,WINTROP STREET AND B
203343636,BROOKLYN,.,.,.,5 AVE 58 ST,BROOKLYN,.,NEW YORK,Intersection,5 AVE AND 58 ST
204594510,MANHATTAN,.,.,2,TIMES SQUARE,NEW YORK,10036,.,Full Address,2 TIMES SQUARE
204594776,MANHATTAN,.,.,.,7TH AVE AND W 47 ST,NEW YORK,.,NEW YORK,Intersection,7TH AVE AND W 47 ST
204595867,MANHATTAN,1000,1,701,7 AVENUE,NEW YORK,10036,NEW YORK,Full Address,701 7 AVENUE
204606124,MANHATTAN,.,.,.,W 49 STREET I O 7TH AVE,NEW YORK,.,NEW YORK,Intersection,W 49 STREET AND 7TH AVE
204607518,MANHATTAN,763,2,526,9 AVENUE,NEW YORK,10018,NEW YORK,Full Address,526 9 AVENUE
204621699,NOT NYC,.,.,556,W 33RD STREET,.,.,.,Full Address,556 W 33RD STREET
204621717,NOT NYC,.,.,30,HUDSON YARDS,.,.,.,Full Address,30 HUDSON YARDS
204621726,NOT NYC,.,.,30,HUDSON YARDS,.,.,.,Full Address,30 HUDSON YARDS
204621735,NOT NYC,.,.,35,HUDSON YARDS,.,.,.,Full Address,35 HUDSON YARDS
204621744,MANHATTAN,804,40,827,AVENUE OF THE AMERICAS,NEW YORK,10001,NEW YORK,Full Address,827 AVENUE OF THE AMERICAS
204621780,NOT NYC,.,.,.,WEST 33RD 7TH AVE,.,.,.,Insufficient Information,WEST 33RD 7TH AVE
204693217,MANHATTAN,.,.,.,E 85 ST MADISON AVE,NEW YORK,.,NEW YORK,Intersection,E 85 ST AND ST MADISON AVE
204747768,BRONX,3222,62,2155,UNIVERSITY AVENUE,BRONX,10453,NEW YORK,Full Address,2155 UNIVERSITY AVENUE
204748473,BRONX,.,.,.,I S EAST FORDHAM RD VALENTIN,BRONX,.,NEW YORK,Intersection,I S EAST FORDHAM RD AND VALENTIN
204782418,MANHATTAN,.,.,.,E 106 STREET 1ST AVE,NEW YORK,.,NEW YORK,Intersection,E 106 ST AND STREET 1ST AVE
206044392,MANHATTAN,1013,12,234,WEST 42 STREET,NEW YORK,10036,NEW YORK,Full Address,234 WEST 42 STREET
206044823,MANHATTAN,.,.,.,S S W 48 ST 0 FT E S BROADWA,NEW YORK,.,NEW YORK,Intersection,S S W 48 ST AND 0 FT E S BROADWA
206047225,MANHATTAN,.,.,1540,BROADWAY,NEW YORK,10036,NEW YORK,Full Address,1540 BROADWAY
206047234,MANHATTAN,995,5,1472,BROADWAY,NEW YORK,10036,NEW YORK,Full Address,1472 BROADWAY
206047326,MANHATTAN,1018,7501,1567,BROADWAY,NEW YORK,10036,NEW YORK,Full Address,1567 BROADWAY
206063588,BROOKLYN,.,.,.,I O AVE P OCEAN AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE P OCEAN AVE
206064770,BROOKLYN,.,.,.,CONEY ISLAND AVE AVENUE W,BROOKLYN,.,NEW YORK,Intersection,CONEY ISLAND AVE AND AVENUE W
206115279,MANHATTAN,.,.,.,OF EAST 29 ST AND 7 AVE INTE,NEW YORK,.,NEW YORK,Intersection,OF EAST 29 ST AND 7 AVE INTE
206217010,BRONX,2496,52,1194,CROMWELL AVENUE,BRONX,10452,NEW YORK,Full Address,1194 CROMWELL AVENUE
206217029,QUEENS,.,.,89-15,PARSONS BOULEVARD,JAMAICA,11432,NEW YORK,Full Address,89-15 PARSONS BOULEVARD
206217047,BRONX,2654,2,755,EAST 152 STREET,BRONX,10455,NEW YORK,Full Address,755 EAST 152 STREET
206217579,BRONX,2461,1,910,GRAND CONCOURSE,BRONX,10451,NEW YORK,Full Address,910 GRAND CONCOURSE
206236040,STATEN IS,3110,90,98,ARTHUR AVENUE,STATEN ISLAND,10305,NEW YORK,Full Address,98 ARTHUR AVENUE
206239752,MANHATTAN,.,.,.,E 16TH STREET AND AVENUE C,NEW YORK,.,NEW YORK,Intersection,E 16TH STREET AND AVENUE C
207635158,QUEENS,.,.,.,BAISLEY BOULEVARD IRWIN PLAC,QUEENS,.,NEW YORK,Intersection,BAISLEY BOULEVARD AND IRWIN PLAC
207692880,MANHATTAN,.,.,1530,ST NICHOLAS AVENUE,NEW YORK,10033,NEW YORK,Full Address,1530 ST NICHOLAS AVENUE
207693128,MANHATTAN,2169,42,609,WEST 191 STREET,NEW YORK,10040,NEW YORK,Full Address,609 WEST 191 STREET
207809279,BRONX,.,.,.,BRUCKNER BOULEVARD WESTCHEST,BRONX,.,NEW YORK,Intersection,BRUCKNER BOULEVARD AND WESTCHEST
207815805,MANHATTAN,.,.,.,S W CORNER OF W 79 ST BROADW,NEW YORK,.,NEW YORK,Intersection,S W CORNER OF W 79 ST AND BROADW
207816070,MANHATTAN,1152,7501,227,WEST 60 STREET,NEW YORK,10023,NEW YORK,Full Address,227 WEST 60 STREET
207820315,QUEENS,2500,21,55-13,69 STREET,MASPETH,11378,NEW YORK,Full Address,55-13 69 STREET
207820764,QUEENS,.,.,.,80 STREET JUNIPER BLVD N,QUEENS,.,NEW YORK,Intersection,80 STREET AND JUNIPER BLVD N
207821030,QUEENS,.,.,.,74 ST METROPOLITAN AVE,QUEENS,.,NEW YORK,Intersection,74 ST AND METROPOLITAN AVE
207849337,MANHATTAN,1305,1,325,PARK AVENUE,NEW YORK,10022,NEW YORK,Full Address,325 PARK AVENUE
207860373,BROOKLYN,.,.,.,W 17 ST SURF AVE,BROOKLYN,.,NEW YORK,Intersection,W 17 ST AND ST SURF AVE
208110091,BROOKLYN,1580,1,1059,MYRTLE AVENUE,BROOKLYN,11206,NEW YORK,Full Address,1059 MYRTLE AVENUE
208110504,BROOKLYN,1927,17,223,FRANKLIN AVENUE,BROOKLYN,11205,NEW YORK,Full Address,223 FRANKLIN AVENUE
208111705,BROOKLYN,.,.,.,MYRTLE THROOP,BROOKLYN,.,NEW YORK,Intersection,MYRTLE AND THROOP
208119010,BROOKLYN,1755,7501,848,MYRTLE AVENUE,BROOKLYN,11206,NEW YORK,Full Address,848 MYRTLE AVENUE
208119158,BROOKLYN,.,.,.,PARK AVE THROOP AVE,BROOKLYN,.,NEW YORK,Intersection,PARK AVE AND THROOP AVE
208119212,BROOKLYN,.,.,.,THROOP AV VERNON AV,BROOKLYN,.,NEW YORK,Intersection,THROOP AV AND VERNON AV
208119680,BROOKLYN,1803,83,265,QUINCY STREET,BROOKLYN,11216,NEW YORK,Full Address,265 QUINCY STREET
208119717,BROOKLYN,.,.,.,MARCUS GARVEY MYRTLE AV,BROOKLYN,.,NEW YORK,Insufficient Information,MARCUS GARVEY MYRTLE AV
190692554,MANHATTAN,.,.,.,INTERSECTION E 32 3 AVENUE,NEW YORK,.,NEW YORK,Insufficient Information,INTERSECTION E 32 3 AVENUE
196182838,BROOKLYN,.,.,.,I O 72 ST FT HAMILTON PKWY,BROOKLYN,.,NEW YORK,Intersection,72 ST AND FT HAMILTON PKWY
196357958,BROOKLYN,.,.,.,S W C O ALBANY AVE EMPIRE BL,BROOKLYN,.,NEW YORK,Intersection,ALBANY AVE AND EMPIRE BL
196370864,MANHATTAN,2030,36,2496,7 AVENUE,NEW YORK,10030,NEW YORK,Full Address,2496 7 AVENUE
196391672,BROOKLYN,.,.,.,S E CORNER OF FULTON ST CARL,BROOKLYN,.,NEW YORK,Intersection,S E CORNER OF FULTON ST AND CARL
196428816,MANHATTAN,1017,7501,1535,BROADWAY,NEW YORK,10036,NEW YORK,Full Address,1535 BROADWAY
196440081,BROOKLYN,.,.,.,C O BROADWAY RODNEY,BROOKLYN,.,NEW YORK,Intersection,BROADWAY AND RODNEY
196440119,BROOKLYN,.,.,.,C O MAUJER AND HUMBOLDT ST,BROOKLYN,.,NEW YORK,Intersection,MAUJER AND HUMBOLDT ST
196442483,BROOKLYN,.,.,172,SOUTH 3 STREET,BROOKLYN,11211,NEW YORK,Full Address,172 SOUTH 3 STREET
196442501,BROOKLYN,.,.,.,BOERUM ST GRAHAM AVE,BROOKLYN,.,NEW YORK,Intersection,BOERUM ST AND GRAHAM AVE
196446728,BROOKLYN,2464,34,403,BROADWAY,BROOKLYN,11211,NEW YORK,Full Address,403 BROADWAY
196474310,BROOKLYN,.,.,.,I O GRAHAM SKILLMAN,BROOKLYN,.,NEW YORK,Intersection,GRAHAM AND SKILLMAN
196615349,BROOKLYN,930,35,430,DEAN STREET,BROOKLYN,11217,NEW YORK,Full Address,430 DEAN STREET
196661805,BRONX,.,.,.,S B WHITE PLAINS RD AT LYDIG,BRONX,.,NEW YORK,Intersection,WHITE PLAINS RD AND LYDIG
196675858,MANHATTAN,.,.,.,W 35TH BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,W 35TH BROADWAY
196675867,MANHATTAN,.,.,.,W 35TH BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,W 35TH BROADWAY
196677370,BRONX,4840,42,4000,WHITE PLAINS ROAD,BRONX,10466,NEW YORK,Full Address,4000 WHITE PLAINS ROAD
196698004,BRONX,.,.,.,UNIVERSITY AVE WEST 195TH ST,BRONX,.,NEW YORK,Intersection,UNIVERSITY AVE AND WEST 195TH ST
196700828,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196700837,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196700846,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196700855,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196701084,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196701240,BRONX,2374,1,2883,3 AVENUE,BRONX,10455,NEW YORK,Full Address,2883 3 AVENUE
196710571,BRONX,2925,1,3630,3 AVENUE,BRONX,10456,NEW YORK,Full Address,3630 3 AVENUE
196722168,BRONX,2814,25,1930,ANTHONY AVENUE,BRONX,10457,NEW YORK,Full Address,1930 ANTHONY AVENUE
196725459,BRONX,2826,102,1801,WEEKS AVENUE,BRONX,10457,NEW YORK,Full Address,1801 WEEKS AVENUE
196738374,BRONX,.,.,.,E TREMONT AVE AND PROSPECT A,BRONX,.,NEW YORK,Intersection,E TREMONT AVE AND PROSPECT A
197760705,MANHATTAN,.,.,.,44 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,44 8TH AVE
197787004,MANHATTAN,.,.,.,ASTOR PLACE AND COOPER SQUAR,NEW YORK,.,NEW YORK,Intersection,ASTOR PLACE AND COOPER SQUAR
197810086,MANHATTAN,286,15,237,HENRY STREET,NEW YORK,10002,NEW YORK,Full Address,237 HENRY STREET
197882127,MANHATTAN,277,52,31,CATHERINE STREET,NEW YORK,10038,NEW YORK,Full Address,31 CATHERINE STREET
197912752,MANHATTAN,.,.,1568,BROADWAY,NEW YORK,10036,NEW YORK,Full Address,1568 BROADWAY
197917693,MANHATTAN,.,.,.,N W C O WEST 46 ST 8 AVE,NEW YORK,.,NEW YORK,Intersection,WEST 46 ST AND ST 8 AVE
197931333,MANHATTAN,1020,38,732,7 AVENUE,NEW YORK,10019,NEW YORK,Full Address,732 7 AVENUE
197932718,MANHATTAN,.,.,.,9TH AVE W 20 ST S E C O,NEW YORK,.,NEW YORK,Intersection,9TH AVE AND W 20 ST S E C O
197934853,MANHATTAN,.,.,.,WEST 33RD 10TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,WEST 33RD 10TH AVE
197939208,MANHATTAN,.,.,.,S W C O W 25 ST 7 AVE,NEW YORK,.,NEW YORK,Intersection,W 25 ST AND ST 7 AVE
197941471,MANHATTAN,.,.,.,N W C O W 44 8 AVENUE,NEW YORK,.,NEW YORK,Intersection,W 44 ST AND 8 AVENUE
197944369,MANHATTAN,762,17,331,WEST 38 STREET,NEW YORK,10018,NEW YORK,Full Address,331 WEST 38 STREET
197968275,MANHATTAN,1006,7502,1335,AVENUE OF THE AMERICAS,NEW YORK,10019,NEW YORK,Full Address,1335 AVENUE OF THE AMERICAS
197986508,MANHATTAN,.,.,.,SOUTH EAST CORNER E 10 ST 4T,NEW YORK,.,NEW YORK,Intersection,SOUTH EAST CORNER E 10 ST AND 4T
197987011,MANHATTAN,.,.,.,E 11 STREET 2ND AVE,NEW YORK,.,NEW YORK,Intersection,E 11 ST AND STREET 2ND AVE
197987049,MANHATTAN,.,.,.,E 11 ST 2 AVE,NEW YORK,.,NEW YORK,Intersection,E 11 ST AND ST 2 AVE
197987058,MANHATTAN,.,.,.,E 11 ST 2ND AVE,NEW YORK,.,NEW YORK,Intersection,E 11 ST AND ST 2ND AVE
197987305,NOT NYC,.,.,.,CORNER 8 AVE 35 ST,.,.,NEW YORK,Intersection,8 AVE AND 35 ST
