Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini),Updated_Address,Ticket used,,,,,,,,,,,,,
204747850,BRONX,.,.,.,EAST TREMONT GRAND CONC,BRONX,.,NEW YORK,Insufficient Information,EAST TREMONT GRAND CONC,Grand Concourse & E Tremont Ave,FALSE,,,,,,,,,,,,,
211741640,MANHATTAN,.,.,.,WEST 33RD BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,WEST 33RD BROADWAY,Broadway & W 33rd St,FALSE,,,,,,,,,,,,,
197880421,MANHATTAN,.,.,.,CHRYSTIE GRAND ST,NEW YORK,.,NEW YORK,Insufficient Information,CHRYSTIE GRAND ST,Grand St & Chrystie St,FALSE,,,,,,,,,,,,,
211744500,NOT NYC,.,.,.,W 33RD BROADWAY,.,.,.,Insufficient Information,W 33RD BROADWAY,Broadway & W 33rd St,FALSE,,,,,,,,,,,,,
211812774,BROOKLYN,.,.,.,THROOP AVENUE WILLOUGHBY AVE,BROOKLYN,.,NEW YORK,Insufficient Information,THROOP AVENUE WILLOUGHBY AVE,Willoughby Ave & Throop Ave,FALSE,,,,,,,,,,,,,
211746839,NOT NYC,.,.,.,HUDSON YARDS 11 AVE,.,.,.,Insufficient Information,HUDSON YARDS 11 AVE,11th Ave & Hudson Yards,FALSE,,,,,,,,,,,,,
211747250,NOT NYC,.,.,.,THE SIDE OF 1243 SURF AVE,.,.,.,Insufficient Information,THE SIDE OF 1243 SURF AVE,1243 Surf Ave,FALSE,,,,,,,,,,,,,
211747984,BROOKLYN,.,.,.,RIEGELMANN BOARDWALK STILLWE,BROOKLYN,.,NEW YORK,Insufficient Information,RIEGELMANN BOARDWALK STILLWE,Stillwell Ave & Surf Ave,FALSE,,,,,,,,,,,,,
211749230,NOT NYC,.,.,.,WEST 48TH BROADWAY,.,.,.,Insufficient Information,WEST 48TH BROADWAY,Broadway & W 48th St,FALSE,,,,,,,,,,,,,
197969320,MANHATTAN,.,.,.,SW CORNER WEST 57 10TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,SW CORNER WEST 57 10TH AVE,10th Ave & W 57th St,FALSE,,,,,,,,,,,,,
198058291,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,520 W 48th St,TRUE,,,,,,,,,,,,,
198150160,MANHATTAN,.,.,.,ATTORNEY E HOUSTON,NEW YORK,.,NEW YORK,Insufficient Information,ATTORNEY E HOUSTON,Attorney St & E Houston St,FALSE,,,,,,,,,,,,,
198423657,MANHATTAN,.,.,.,MORNINGSIDE PARK W 113 ST,NEW YORK,.,NEW YORK,Insufficient Information,MORNINGSIDE PARK W 113 ST,Morningside Dr & W 113th St,FALSE,,,,,,,,,,,,,
199164323,QUEENS,.,.,.,SW CORNER ROOSEVELT 75TH ST,QUEENS,.,NEW YORK,Insufficient Information,SW CORNER ROOSEVELT 75TH ST,Roosevelt Ave & 75th St,FALSE,,,,,,,,,,,,,
199219112,QUEENS,.,.,.,UNITED NATIONS N GRAND CENTR,QUEENS,.,NEW YORK,Insufficient Information,UNITED NATIONS N GRAND CENTR,United Nations Ave N & Grand Central Pkwy E,TRUE,,,,,,,,,,,,,
199361993,QUEENS,.,.,.,INTERSECTION OF CROSS BAY BL,QUEENS,.,NEW YORK,Insufficient Information,INTERSECTION OF CROSS BAY BL,149th Ave & Cross Bay Blvd,TRUE,,,,,,,,,,,,,
199824781,BROOKLYN,.,.,.,I O FLATLANDS AVENUE EAST 53,BROOKLYN,.,NEW YORK,Insufficient Information,FLATLANDS AVENUE EAST 53,Flatlands Ave & E 53rd St,FALSE,,,,,,,,,,,,,
200418516,BRONX,.,.,.,E 188TH GRAND CONCOURSE,BRONX,.,NEW YORK,Insufficient Information,E 188TH GRAND CONCOURSE,Grand Concourse & E 188th St,FALSE,,,,,,,,,,,,,
200556043,BRONX,.,.,.,S B CASTLE HILL LYON AVE,BRONX,.,NEW YORK,Insufficient Information,CASTLE HILL LYON AVE,Castle Hill Ave & Lyon Ave,FALSE,,,,,,,,,,,,,
201179074,BROOKLYN,.,.,.,C O PUTNAM MARCUS GARVEY,BROOKLYN,.,NEW YORK,Insufficient Information,PUTNAM MARCUS GARVEY,Marcus Garvey Blvd & Putnam Ave,FALSE,,,,,,,,,,,,,
201355193,BROOKLYN,.,.,.,PEARL 1ST PRPSPECT ST,BROOKLYN,.,NEW YORK,Insufficient Information,PEARL 1ST PRPSPECT ST,Prospect St & Pearl St,FALSE,,,,,,,,,,,,,
201446897,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,.,FALSE,,,,,,,,,,,,,
201569290,BROOKLYN,.,.,.,.,BROOKLYN,.,NEW YORK,Insufficient Information,Not enough information to decipher,6 Malcolm X Blvd,TRUE,,,,,,,,,,,,,
201644823,BRONX,.,.,.,E KINGSBRIDGE E 194,BRONX,.,NEW YORK,Insufficient Information,E KINGSBRIDGE E 194,E 194th St & E Kingsbridge Rd,FALSE,,,,,,,,,,,,,
202689181,BROOKLYN,.,.,.,JUNIUS SUTTER AVE,BROOKLYN,.,NEW YORK,Insufficient Information,JUNIUS SUTTER AVE,Junius St & Sutter Ave,FALSE,,,,,,,,,,,,,
206028269,BROOKLYN,.,.,.,FLATLANDS AVENUE AVENUE K,BROOKLYN,.,NEW YORK,Insufficient Information,FLATLANDS AVENUE AVENUE K,Flatlands Ave & Avenue K,FALSE,,,,,,,,,,,,,
206063514,BROOKLYN,.,.,.,I O AVE Z E 11 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE Z E 11 ST,Avenue Z & E 11th St,FALSE,,,,,,,,,,,,,
207849328,MANHATTAN,.,.,.,.,NEW YORK,.,NEW YORK,Insufficient Information,Not enough information to decipher,5th Ave & E 50th St,TRUE,,,,,,,,,,,,,
209592617,NOT NYC,.,.,.,N W C O W 46TH STREET,NEW YORK,.,NEW YORK,Insufficient Information,W 46TH STREET,W 46th St,TRUE,,,,,,,,,,,,,
211672414,BROOKLYN,.,.,.,.,BROOKLYN,.,NEW YORK,Insufficient Information,Not enough information to decipher,7th Ave & 92nd St,TRUE,,,,,,,,,,,,,
211743319,NOT NYC,.,.,.,49 7TH AVE,.,.,.,Insufficient Information,49 7TH AVE,7th Ave & W 49th St,FALSE,,,,,,,,,,,,,
211815753,BROOKLYN,.,.,.,.,BROOKLYN,.,NEW YORK,Insufficient Information,Not enough information to decipher,1405 Atlantic Ave,TRUE,,,,,,,,,,,,,
211815854,BROOKLYN,.,.,.,BEDFORD PUTNAM AVE,BROOKLYN,.,NEW YORK,Insufficient Information,BEDFORD PUTNAM AVE,Bedford Ave & Putnam Ave,FALSE,,,,,,,,,,,,,
211890086,MANHATTAN,.,.,.,S W CORNER OF MOTT CANAL,NEW YORK,.,NEW YORK,Insufficient Information,S W CORNER OF MOTT CANAL,Canal St & Mott St,FALSE,,,,,,,,,,,,,
211890095,MANHATTAN,.,.,.,S W CORNER OF MOTT CANAL,NEW YORK,.,NEW YORK,Insufficient Information,S W CORNER OF MOTT CANAL,Canal St & Mott St,FALSE,,,,,,,,,,,,,
211893588,MANHATTAN,.,.,.,I O ELIZABETH STR KENMARE,NEW YORK,.,NEW YORK,Insufficient Information,ELIZABETH STR KENMARE,Elizabeth St & Kenmare St,FALSE,,,,,,,,,,,,,
211990790,MANHATTAN,.,.,.,I O DYCKMAN SHERMAN S W CORN,NEW YORK,.,NEW YORK,Insufficient Information,DYCKMAN SHERMAN S W CORN,Dyckman St & Sherman Ave,FALSE,,,,,,,,,,,,,
212094219,BRONX,.,.,.,C O E FORDHAM WASHINGTON AVE,BRONX,.,NEW YORK,Insufficient Information,E FORDHAM WASHINGTON AVE,E Fordham Rd & Washington Ave,FALSE,,,,,,,,,,,,,
211757233,MANHATTAN,.,.,.,W 44TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 44TH 8TH AVE,W 44th St & 8th Ave,FALSE,,,,,,,,,,,,,
199927530,BROOKLYN,.,.,.,I O AVENUE K EAST 37TH STREE,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE K EAST 37TH STREE,Avenue K & E 37th St,FALSE,,,,,,,,,,,,,
201339243,BROOKLYN,2461,13,.,RODNEY PARK CENTER,BROOKLYN,11211,NEW YORK,Insufficient Information,RODNEY PARK CENTER,322 S 5th St,FALSE,,,,,,,,,,,,,
206161340,QUEENS,.,.,.,QUEENS MIDTOWN EXPWY 69 STRE,QUEENS,.,NEW YORK,Insufficient Information,QUEENS MIDTOWN EXPWY 69 STRE,Queens Midtown Expy & 69th St,FALSE,,,,,,,,,,,,,
211744363,NOT NYC,.,.,.,W 33RD BROADWAY,.,.,.,Insufficient Information,W 33RD BROADWAY,Broadway & W 33rd St,FALSE,,,,,,,,,,,,,
209571230,MANHATTAN,.,.,.,S W CORNER E 124 2 AVE,NEW YORK,.,NEW YORK,Insufficient Information,S W CORNER E 124 2 AVE,2nd Ave & E 124th St,FALSE,,,,,,,,,,,,,
209635214,BROOKLYN,.,.,.,IRVING AVENUE WEIRFIELD STRE,BROOKLYN,.,NEW YORK,Insufficient Information,IRVING AVENUE WEIRFIELD STRE,Weirfield St & Irving Ave,FALSE,,,,,,,,,,,,,
211635023,BROOKLYN,.,.,.,AVE N OCEAN PARKWAY,BROOKLYN,.,NEW YORK,Insufficient Information,AVE N OCEAN PARKWAY,Ocean Pkwy & Avenue N,FALSE,,,,,,,,,,,,,
204748318,BRONX,.,.,.,SE 182 ST,BRONX,.,NEW YORK,Insufficient Information,SE 182 ST,E 182nd St,TRUE,,,,,,,,,,,,,
211744868,NOT NYC,.,.,.,W 41ST 6 AVE,.,.,.,Insufficient Information,W 41ST 6 AVE,6th Ave & W 41st St,FALSE,,,,,,,,,,,,,
198909141,STATEN IS,.,.,.,HYLAN BLVD-LINCOLN AVE,STATEN ISLAND,.,NEW YORK,Insufficient Information,HYLAN BLVD-LINCOLN AVE,Hylan Blvd & Lincoln Ave,FALSE,,,,,,,,,,,,,
211742970,NOT NYC,.,.,.,W 46TH 7 AVE,.,.,.,Insufficient Information,W 46TH 7 AVE,7th Ave & W 46th St,FALSE,,,,,,,,,,,,,
201053380,BRONX,5650,1,.,PELHAM BAY PARK,BRONX,10464,NEW YORK,Insufficient Information,PELHAM BAY PARK,"40.86687327380052, -73.8095684970557",FALSE,,,,,,,,,,,,,
202865769,QUEENS,.,.,.,HARROW STR 71 AVE,QUEENS,.,NEW YORK,Insufficient Information,HARROW STR 71 AVE,71st Ave & Harrow St,FALSE,,,,,,,,,,,,,
206212041,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,1303 Castle Hill Ave,FALSE,,,,,,,,,,,,,
206212766,BRONX,.,.,.,GRAND CONCOURSE E 169 ST,BRONX,.,NEW YORK,Insufficient Information,GRAND CONCOURSE E 169 ST,Grand Concourse & E 169th St,FALSE,,,,,,,,,,,,,
209606623,QUEENS,.,.,.,121ST HILLSIDE AVE,.,.,NEW YORK,Insufficient Information,121ST HILLSIDE AVE,121st St & Hillside Ave.,FALSE,,,,,,,,,,,,,
198090779,MANHATTAN,.,.,.,I O MURRAY WEST STREET,NEW YORK,.,NEW YORK,Insufficient Information,MURRAY WEST STREET,Murray St & West St,FALSE,,,,,,,,,,,,,
198970806,QUEENS,.,.,.,31 AVENUE 95 STREET,QUEENS,.,NEW YORK,Insufficient Information,31 AVENUE 95 STREET,31st Ave & 95th St,FALSE,,,,,,,,,,,,,
200187837,BROOKLYN,.,.,.,C O NOSTRAND AVENUE AVENUE Z,BROOKLYN,.,NEW YORK,Insufficient Information,NOSTRAND AVENUE AVENUE Z,Nostrand Ave & Avenue Z,FALSE,,,,,,,,,,,,,
201104054,BROOKLYN,.,.,.,EASTERN PRKWY PACIFIC,BROOKLYN,.,NEW YORK,Insufficient Information,EASTERN PRKWY PACIFIC,Eastern Pkwy & Pacific St,FALSE,,,,,,,,,,,,,
199818035,BROOKLYN,.,.,.,I O BEDFORD AVENUE AVENUE M,BROOKLYN,.,NEW YORK,Insufficient Information,BEDFORD AVENUE AVENUE M,Bedford Ave & Avenue M,FALSE,,,,,,,,,,,,,
206029010,BROOKLYN,.,.,.,AVENUE U EAST 65TH ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE U EAST 65TH ST,Avenue U & E 65th St,FALSE,,,,,,,,,,,,,
211894614,MANHATTAN,.,.,.,I O MARKET MADISON ST,NEW YORK,.,NEW YORK,Insufficient Information,MARKET MADISON ST,Madison St & Market St,FALSE,,,,,,,,,,,,,
212083008,MANHATTAN,.,.,.,GREENWICH AVENUE W 12TH,NEW YORK,.,NEW YORK,Insufficient Information,GREENWICH AVENUE W 12TH,Greenwich Ave & W 12th St,FALSE,,,,,,,,,,,,,
191088022,MANHATTAN,.,.,.,S W C O 44 8 AVE,NEW YORK,.,NEW YORK,Insufficient Information,44 8 AVE,W 44th St & 8th Ave,FALSE,,,,,,,,,,,,,
211631402,BROOKLYN,.,.,.,W B AVENUE I OCEAN PKWY,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE I OCEAN PKWY,Ocean Pkwy & Avenue I,FALSE,,,,,,,,,,,,,
198963656,QUEENS,.,.,.,SKILLMAN AVENUE THOMSON AVEN,QUEENS,.,NEW YORK,Insufficient Information,SKILLMAN AVENUE THOMSON AVEN,Thomson Ave & Skillman Ave,FALSE,,,,,,,,,,,,,
204699230,MANHATTAN,.,.,.,1 AVENUE EAST 73 STREET,NEW YORK,.,NEW YORK,Insufficient Information,1 AVENUE EAST 73 STREET,1st Ave & E 73rd St,FALSE,,,,,,,,,,,,,
198066642,MANHATTAN,.,.,.,W 39TH 8TH,NEW YORK,.,NEW YORK,Insufficient Information,W 39TH 8TH,W 39th St & 8th Ave,FALSE,,,,,,,,,,,,,
198116409,MANHATTAN,.,.,.,UNION SQ WEST EAST 14 ST,NEW YORK,.,NEW YORK,Insufficient Information,UNION SQ WEST EAST 14 ST,E 14th St & Union Square W,FALSE,,,,,,,,,,,,,
201015349,BRONX,.,.,.,ALLERTON AVENUE HOLLAND AVEN,BRONX,.,NEW YORK,Insufficient Information,ALLERTON AVENUE HOLLAND AVEN,Holland Ave & Allerton Ave,FALSE,,,,,,,,,,,,,
211744446,NOT NYC,.,.,.,W 32ND 5TH AVE,.,.,.,Insufficient Information,W 32ND 5TH AVE,5th Ave & W 32nd St,FALSE,,,,,,,,,,,,,
214548649,BROOKLYN,.,.,.,S E CORNER OF SOUTH 1 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,S E CORNER OF SOUTH 1 STREET,Kent Ave & S 1st St,TRUE,,,,,,,,,,,,,
211742439,NOT NYC,.,.,.,WEST 39TH 5TH AVE,.,.,.,Insufficient Information,WEST 39TH 5TH AVE,5th Ave & W 39th St,FALSE,,,,,,,,,,,,,
201745886,BRONX,.,.,.,C O E TREMONT BELMONT AVE,BRONX,.,NEW YORK,Insufficient Information,E TREMONT BELMONT AVE,Belmont Ave & E Tremont Ave,FALSE,,,,,,,,,,,,,
211741348,NOT NYC,.,.,.,W 34TH 11TH AVE,.,.,.,Insufficient Information,W 34TH 11TH AVE,W 34th St. & 11th Ave,FALSE,,,,,,,,,,,,,
197876324,MANHATTAN,.,.,.,GRAND 6TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,GRAND 6TH AVE,6th Ave & Grand St,FALSE,,,,,,,,,,,,,
206062524,BROOKLYN,.,.,.,OCEAN AVENUE VORORHIES AVE,BROOKLYN,.,NEW YORK,Insufficient Information,OCEAN AVENUE VORORHIES AVE,Ocean Ave & Voorhies Ave,FALSE,,,,,,,,,,,,,
211896219,MANHATTAN,.,.,.,SDR PARK RIVINGTON CHRYSTIE,NEW YORK,.,NEW YORK,Insufficient Information,SDR PARK RIVINGTON CHRYSTIE,Rivington St & Chrystie St,FALSE,,,,,,,,,,,,,
198724231,STATEN IS,.,.,.,FOREST AVENUE VAN NAME AVENU,STATEN ISLAND,.,NEW YORK,Insufficient Information,FOREST AVENUE VAN NAME AVENU,Van Name Ave & Forest Ave,FALSE,,,,,,,,,,,,,
199742190,BROOKLYN,.,.,.,I O BEDFORD AVE-AVE I,BROOKLYN,.,NEW YORK,Insufficient Information,BEDFORD AVE-AVE I,Bedford Ave & Avenue I,FALSE,,,,,,,,,,,,,
201121351,BROOKLYN,.,.,.,BACK 93 LEWIS,BROOKLYN,.,NEW YORK,Insufficient Information,BACK 93 LEWIS,93 Lewis Ave,FALSE,,,,,,,,,,,,,
202871763,QUEENS,.,.,.,SOUTHEAST CORNER OF NORTHERN,QUEENS,.,NEW YORK,Insufficient Information,SOUTHEAST CORNER OF NORTHERN,Northern Blvd & Parsons Blvd,FALSE,,,,,,,,,,,,,
207809021,BRONX,.,.,.,COMMERCE AVENUE WATERBURY AV,BRONX,.,NEW YORK,Insufficient Information,COMMERCE AVENUE WATERBURY AV,Commerce Ave & Waterbury Ave,FALSE,,,,,,,,,,,,,
198094555,MANHATTAN,.,.,.,44TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,44TH 8TH AVE,W 44th St & 8th Ave,FALSE,,,,,,,,,,,,,
198592781,MANHATTAN,.,.,.,1 AVENUE EAST 62 ST,NEW YORK,.,NEW YORK,Insufficient Information,1 AVENUE EAST 62 ST,1st Ave & E 62nd St,FALSE,,,,,,,,,,,,,
211748451,MANHATTAN,.,.,.,N W WEST 31 BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,N W WEST 31 BROADWAY,Broadway & W 31st St,FALSE,,,,,,,,,,,,,
207821058,QUEENS,.,.,.,W B QUEENS MIDTOWN EXP 69 ST,QUEENS,.,NEW YORK,Insufficient Information,QUEENS MIDTOWN EXP 69 ST,Queens Midtown Expy & 69th St,FALSE,,,,,,,,,,,,,
197870806,MANHATTAN,.,.,.,WALL SOUTH ST,NEW YORK,.,NEW YORK,Insufficient Information,WALL SOUTH ST,Wall St & South St,FALSE,,,,,,,,,,,,,
211919520,MANHATTAN,.,.,.,N W COR OF W 44 8 AVE,NEW YORK,.,NEW YORK,Insufficient Information,N W COR OF W 44 8 AVE,W 44th St & 8th Ave,FALSE,,,,,,,,,,,,,
206200785,NOT NYC,.,.,.,SW W 48 6 AVE,.,.,.,Insufficient Information,SW W 48 6 AVE,6th Ave & W 48th St,FALSE,,,,,,,,,,,,,
206215240,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,21-03 Cornaga Ave,TRUE,,,,,,,,,,,,,
199931784,BROOKLYN,.,.,.,N W CORNER OF REMSON AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,N W CORNER OF REMSON AVENUE,Remsen Ave & Avenue A,TRUE,,,,,,,,,,,,,
206210364,BRONX,.,.,.,F O 1000A CASTLE HILL BLVD,BRONX,.,NEW YORK,Insufficient Information,F O 1000A CASTLE HILL BLVD,1000A Castle Hill Ave,FALSE,,,,,,,,,,,,,
211740971,MANHATTAN,.,.,.,W 39TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 39TH 8TH AVE,W 39th St & 8th Ave,FALSE,,,,,,,,,,,,,
211741265,MANHATTAN,.,.,.,C O W 39TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 39TH 8TH AVE,W 39th St & 8th Ave,FALSE,,,,,,,,,,,,,
211819439,BROOKLYN,.,.,.,C O GATES AVENUE TOMPKINS AV,BROOKLYN,.,NEW YORK,Insufficient Information,GATES AVENUE TOMPKINS AV,Gates Ave & Tompkins Ave,FALSE,,,,,,,,,,,,,
211890104,MANHATTAN,.,.,.,NEC OF CHRYSTIE DELANCEY,NEW YORK,.,NEW YORK,Insufficient Information,NEC OF CHRYSTIE DELANCEY,Delancey St & Chrystie St,FALSE,,,,,,,,,,,,,
214587726,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,15 River St,TRUE,,,,,,,,,,,,,
209360645,QUEENS,.,.,.,ARCHER AVENUE UNION HALL STR,QUEENS,.,NEW YORK,Insufficient Information,ARCHER AVENUE UNION HALL STR,Archer Ave & Union Hall St,FALSE,,,,,,,,,,,,,
199000872,QUEENS,.,.,.,S B CROSS ISLAND PARKING TO,QUEENS,.,NEW YORK,Insufficient Information,CROSS ISLAND PARKING TO,"40°45'44.2""N 73°45'24.9""W",TRUE,,,,,,,,,,,,,
200264067,BROOKLYN,.,.,.,AVE T WEST 7 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,AVE T WEST 7 STREET,W 7th St & Avenue T,FALSE,,,,,,,,,,,,,
197880403,MANHATTAN,.,.,.,FORSYTH DELANCEY STS,NEW YORK,.,NEW YORK,Insufficient Information,FORSYTH DELANCEY STS,Delancey St & Forsyth St,FALSE,,,,,,,,,,,,,
199450873,QUEENS,.,.,.,C O 130 AVENUE 150 STREET,QUEENS,.,NEW YORK,Insufficient Information,130 AVENUE 150 STREET,130th Ave & 150th St,FALSE,,,,,,,,,,,,,
202982423,MANHATTAN,1793,1,.,HARLEM RIVER PARK,NEW YORK,10035,NEW YORK,Insufficient Information,HARLEM RIVER PARK,130th Ave & 150th St,FALSE,,,,,,,,,,,,,
198522051,MANHATTAN,.,.,.,NW CORNER 1ST AVENUE E 83 ST,NEW YORK,.,NEW YORK,Insufficient Information,NW CORNER 1ST AVENUE E 83 ST,1st Ave & E 83rd St,FALSE,,,,,,,,,,,,,
200672818,BRONX,.,.,.,GARRISON AVENUE IRVINE ST,BRONX,.,NEW YORK,Insufficient Information,GARRISON AVENUE IRVINE ST,Irvine St & Garrison Ave,FALSE,,,,,,,,,,,,,
211817046,BROOKLYN,.,.,.,FRANKLIN FULTON S W C O,BROOKLYN,.,NEW YORK,Insufficient Information,FRANKLIN FULTON S W C O,Fulton St & Franklin Ave,FALSE,,,,,,,,,,,,,
200440570,BRONX,.,.,.,METCALF WESTCHESTER AVE,BRONX,.,NEW YORK,Insufficient Information,METCALF WESTCHESTER AVE,Metcalf Ave & Westchester Ave,FALSE,,,,,,,,,,,,,
201109013,BROOKLYN,.,.,.,JUNIUS NEW LOTS,BROOKLYN,.,NEW YORK,Insufficient Information,JUNIUS NEW LOTS,Junius St & New Lots Ave,FALSE,,,,,,,,,,,,,
209590096,MANHATTAN,.,.,.,S W 40 W 42ND BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,S W 40 W 42ND BROADWAY,Broadway & W 42nd St,FALSE,,,,,,,,,,,,,
199461910,QUEENS,.,.,.,S E CORNER OF 111 AVENUE LEF,QUEENS,.,NEW YORK,Insufficient Information,S E CORNER OF 111 AVENUE LEF,111th Ave & Lefferts Blvd,FALSE,,,,,,,,,,,,,
199244275,QUEENS,.,.,.,N E BOOTH MEMORIAL AVENUE 13,QUEENS,.,NEW YORK,Insufficient Information,N E BOOTH MEMORIAL AVENUE 13,Booth Memorial Ave & 134th St,TRUE,,,,,,,,,,,,,
211817421,BROOKLYN,1790,1,.,HERBERT VON KING PARK,BROOKLYN,11216,NEW YORK,Insufficient Information,HERBERT VON KING PARK,"40.689639150547144, -73.94671392124779",FALSE,,,,,,,,,,,,,
200764558,BRONX,.,.,.,LONGWOOD DAWSON ST,BRONX,.,NEW YORK,Insufficient Information,LONGWOOD DAWSON ST,Dawson St & Longwood Ave,FALSE,,,,,,,,,,,,,
198182032,MANHATTAN,.,.,.,N W 8 AVENUE W 10 STREET,NEW YORK,.,NEW YORK,Insufficient Information,N W 8 AVENUE W 10 STREET,8th Ave & 10th St,FALSE,,,,,,,,,,,,,
199259565,QUEENS,.,.,.,30 AVENUE STEINWAY ST,QUEENS,.,NEW YORK,Insufficient Information,30 AVENUE STEINWAY ST,Steinway St & 30th Ave.,FALSE,,,,,,,,,,,,,
200444934,BRONX,.,.,.,N E CORNER OF BRONX RIVER AV,BRONX,.,NEW YORK,Insufficient Information,N E CORNER OF BRONX RIVER AV,E 174th St & Bronx River Ave,TRUE,,,,,,,,,,,,,
199732070,BROOKLYN,.,.,.,I O AVENUE P OCEAN AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE P OCEAN AVENUE,Ocean Ave & Avenue P,FALSE,,,,,,,,,,,,,
203315494,MANHATTAN,.,.,.,N WEST CORNER W 34TH BROADWA,NEW YORK,.,NEW YORK,Insufficient Information,N WEST CORNER W 34TH BROADWA,Broadway & W 34th St.,FALSE,,,,,,,,,,,,,
204746264,BRONX,.,.,.,PARK AVENUE E 173 STREET,BRONX,.,NEW YORK,Insufficient Information,PARK AVENUE E 173 STREET,Park Ave & E 173rd St,FALSE,,,,,,,,,,,,,
199823544,BROOKLYN,.,.,.,I O AVE U E 69 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE U E 69 ST,Avenue U & E 69th St,FALSE,,,,,,,,,,,,,
211812710,MANHATTAN,.,.,.,S E C O PUTNAM MARCY AVE,NEW YORK,.,NEW YORK,Insufficient Information,PUTNAM MARCY AVE,Putnam Ave & Marcy Ave,FALSE,,,,,,,,,,,,,
196382441,BROOKLYN,.,.,.,F O 438 NOSTLAND AVE,BROOKLYN,.,NEW YORK,Insufficient Information,F O 438 NOSTLAND AVE,438 Nostrand Ave,FALSE,,,,,,,,,,,,,
211743263,MANHATTAN,.,.,.,W 42TH 5TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 42TH 5TH AVE,W 42nd St & 5th Ave,FALSE,,,,,,,,,,,,,
199734600,BROOKLYN,.,.,.,N E C O AVE N OCEAN AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE N OCEAN AVE,Ocean Ave & Avenue N,FALSE,,,,,,,,,,,,,
196736046,BRONX,.,.,.,C O CROTONA PARK NO CROTONA,BRONX,.,NEW YORK,Insufficient Information,CROTONA PARK NO CROTONA,Crotona Ave & Crotona Park E,TRUE,,,,,,,,,,,,,
201475919,BROOKLYN,.,.,.,SARATOGA HALSEY ST,BROOKLYN,.,NEW YORK,Insufficient Information,SARATOGA HALSEY ST,Halsey St & Saratoga Ave,FALSE,,,,,,,,,,,,,
208116160,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,164 Havemeyer St,TRUE,,,,,,,,,,,,,
211803965,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,164 Havemeyer St,TRUE,,,,,,,,,,,,,
197880412,NOT NYC,.,.,.,CHRYSTIE DELANCEY STS,.,.,NEW YORK,Insufficient Information,CHRYSTIE DELANCEY STS,Delancey St & Chrystie St,FALSE,,,,,,,,,,,,,
200738102,BRONX,.,.,.,N E C O GRAND AVENUE WEST 18,BRONX,.,NEW YORK,Insufficient Information,GRAND AVENUE WEST 18,W 183rd St & Grand Ave,TRUE,,,,,,,,,,,,,
211725297,BROOKLYN,.,.,.,I O 3RD AVENUE 9TH STREET,BROOKLYN,.,NEW YORK,Insufficient Information,3RD AVENUE 9TH STREET,3rd Ave & 9th St,FALSE,,,,,,,,,,,,,
199742218,BROOKLYN,.,.,.,I O AVE P E 18 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE P E 18 ST,E 18th St & Avenue P,FALSE,,,,,,,,,,,,,
198314270,MANHATTAN,.,.,.,S W C O AUDUBON AVENUE W 185,NEW YORK,.,NEW YORK,Insufficient Information,AUDUBON AVENUE W 185,Audubon Ave & W 185th St,FALSE,,,,,,,,,,,,,
204598763,MANHATTAN,.,.,.,INTERSECTION W 29 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,INTERSECTION W 29 8TH AVE,W 29th St & 8th Ave,FALSE,,,,,,,,,,,,,
